sample_id,file_type,files
10X_P8_15,bam,input/tmuris/bam/Trachea.P8_15.bam
10X_P8_14,bam,input/tmuris/bam/Trachea.P8_14.bam
10X_P8_13,bam,input/tmuris/bam/Lung.P8_13.bam
10X_P8_12,bam,input/tmuris/bam/Lung.P8_12.bam
10X_P7_15,bam,input/tmuris/bam/Limb_Muscle.P7_15.bam
10X_P7_14,bam,input/tmuris/bam/Limb_Muscle.P7_14.bam
10X_P7_13,bam,input/tmuris/bam/Mammary_Gland.P7_13.bam
10X_P7_12,bam,input/tmuris/bam/Mammary_Gland.P7_12.bam
10X_P7_11,bam,input/tmuris/bam/Thymus.P7_11.bam
10X_P7_10,bam,input/tmuris/bam/Tongue.P7_10.bam
10X_P7_9,bam,input/tmuris/bam/Lung.P7_9.bam
10X_P7_8,bam,input/tmuris/bam/Lung.P7_8.bam
10X_P7_7,bam,input/tmuris/bam/Bladder.P7_7.bam
10X_P7_6,bam,input/tmuris/bam/Spleen.P7_6.bam
10X_P7_5,bam,input/tmuris/bam/Kidney.P7_5.bam
10X_P7_4,bam,input/tmuris/bam/Heart_and_Aorta.P7_4.bam
10X_P7_3,bam,input/tmuris/bam/Marrow.P7_3.bam
10X_P7_2,bam,input/tmuris/bam/Marrow.P7_2.bam
10X_P7_1,bam,input/tmuris/bam/Liver.P7_1.bam
10X_P7_0,bam,input/tmuris/bam/Liver.P7_0.bam
10X_P4_7,bam,input/tmuris/bam/Spleen.P4_7.bam
10X_P4_6,bam,input/tmuris/bam/Kidney.P4_6.bam
10X_P4_5,bam,input/tmuris/bam/Kidney.P4_5.bam
10X_P4_4,bam,input/tmuris/bam/Bladder.P4_4.bam
10X_P4_3,bam,input/tmuris/bam/Bladder.P4_3.bam
10X_P4_2,bam,input/tmuris/bam/Liver.P4_2.bam
10X_P4_1,bam,input/tmuris/bam/Tongue.P4_1.bam
10X_P4_0,bam,input/tmuris/bam/Tongue.P4_0.bam
